recordid,tradeid,tradedate,instrumentid,instrumenttype,buysell,quantity,price,currencycode,counterpartyid,tradestatus,traderid,created_ts,variance
1,TRD00000000,2020-09-29,INS038073,BOND,BUY,9543,223.83,GBP,CP038423,ACTIVE,9,2021-04-11 04:20:24,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
2,TRD00000001,2021-05-24,INS036818,BOND,SELL,1358,61.55,USD,CP042360,AMEND,7546,2020-05-03 11:21:26,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
3,TRD00000002,2025-07-16,INS030775,BOND,BUY,8802,60.61,INR,CP033299,CANCEL,5844,2022-12-05 01:16:37,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
4,TRD00000003,2024-06-16,INS043290,BOND,BUY,9117,41.32,GBP,CP003940,CANCEL,8257,2020-09-06 19:53:26,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
5,TRD00000004,2021-07-25,INS039116,FX,SELL,3477,74.61,GBP,CP044285,CANCEL,5823,2025-05-10 08:04:03,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
6,TRD00000005,2020-09-23,INS033285,EQUITY,BUY,7569,270.29,USD,CP014450,CANCEL,6700,2023-12-04 17:03:30,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
7,TRD00000006,2023-06-25,INS012244,EQUITY,SELL,4691,472.66,GBP,CP034038,NEW,6547,2022-09-15 12:19:57,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
8,TRD00000007,2022-01-23,INS020731,FX,SELL,7473,209.45,GBP,CP049821,NEW,6049,2023-08-27 21:14:15,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
9,TRD00000008,2020-08-25,INS013050,EQUITY,SELL,1594,351.92,GBP,CP022392,ACTIVE,928,2022-07-08 08:31:26,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
10,TRD00000009,2022-08-29,INS010998,EQUITY,BUY,1232,18.3,USD,CP036970,NEW,1712,2026-02-09 04:03:26,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
11,TRD00000010,2021-04-17,INS017103,BOND,BUY,2661,398.92,INR,CP018879,NEW,2167,2020-02-18 15:57:28,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
12,TRD00000011,2024-11-16,INS022890,BOND,BUY,9151,361.92,INR,CP047174,CANCEL,2409,2024-07-06 18:13:59,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
13,TRD00000012,2020-10-22,INS032250,FX,SELL,6153,208.07,EUR,CP040999,CANCEL,1021,2024-01-10 08:45:00,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
14,TRD00000013,2020-05-30,INS001005,BOND,BUY,6149,36.46,GBP,CP001141,CANCEL,2365,2023-02-14 11:56:03,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
15,TRD00000014,2020-11-21,INS049713,BOND,BUY,6859,303.45,INR,CP003125,NEW,8333,2022-08-07 12:12:45,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
16,TRD00000015,2023-09-19,INS048332,EQUITY,SELL,9741,391.25,USD,CP018181,CANCEL,7086,2026-02-12 11:36:57,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
