CounterpartyId,CounterpartyType,Country_CD,RiskRating,Status,CREATED_TS
CP000000,FUND,C23144,HIGH,ACTIVE,2023-12-18 17:18:00
CP000001,BANK,C49752,MEDIUM,ACTIVE,2022-09-21 05:00:15
CP000002,FUND,C01350,MEDIUM,ACTIVE,2022-10-23 11:05:21
CP000003,CORP,C28856,MEDIUM,ACTIVE,2022-12-31 14:00:51
CP000004,CORP,C46988,MEDIUM,ACTIVE,2022-04-21 08:03:16
CP000005,FUND,C40431,HIGH,ACTIVE,2024-04-03 21:03:39
CP000006,CORP,C35297,HIGH,ACTIVE,2021-06-02 19:48:01
CP000007,FUND,C29690,LOW,ACTIVE,2025-04-05 02:18:06
CP000008,CORP,C25491,HIGH,ACTIVE,2025-12-08 09:30:28
CP000009,CORP,C20081,LOW,ACTIVE,2023-11-30 18:11:15
CP000010,BANK,C45117,LOW,ACTIVE,2022-09-23 02:45:48
CP000011,CORP,C46206,HIGH,ACTIVE,2023-05-12 09:26:32
CP000012,BANK,C13260,LOW,ACTIVE,2025-12-03 01:04:25
CP000013,BANK,C25717,HIGH,ACTIVE,2025-11-29 16:52:55
CP000014,FUND,C22533,MEDIUM,ACTIVE,2024-12-23 14:31:16
CP000015,BANK,C31304,LOW,ACTIVE,2025-11-24 01:04:08
CP000016,FUND,C27741,HIGH,ACTIVE,2024-09-09 03:17:29
CP000017,FUND,C06077,MEDIUM,ACTIVE,2020-04-18 21:11:49
CP000018,BANK,C43290,MEDIUM,ACTIVE,2021-02-28 03:28:24
CP000019,FUND,C29320,LOW,ACTIVE,2020-10-30 01:37:06
CP000020,BANK,C07717,MEDIUM,ACTIVE,2024-08-29 03:22:00
CP000021,CORP,C30592,HIGH,ACTIVE,2022-06-25 15:32:38
CP000022,FUND,C13186,LOW,ACTIVE,2022-07-15 12:30:20
CP000023,BANK,C44065,HIGH,ACTIVE,2023-12-12 23:12:17
CP000024,BANK,C09584,LOW,ACTIVE,2025-02-07 02:13:02
CP000025,BANK,C16035,LOW,ACTIVE,2022-08-15 14:52:13
CP000026,BANK,C03872,HIGH,ACTIVE,2022-09-18 06:47:53
CP000027,CORP,C24363,LOW,ACTIVE,2025-09-03 12:49:10
CP000028,FUND,C49711,HIGH,ACTIVE,2020-02-14 02:51:09
CP000029,BANK,C41132,LOW,ACTIVE,2023-06-03 05:58:33
CP000030,FUND,C49602,LOW,ACTIVE,2021-10-30 22:18:12
CP000031,BANK,C43934,HIGH,ACTIVE,2021-01-23 16:45:37
CP000032,FUND,C30223,LOW,ACTIVE,2025-10-22 04:10:19
CP000033,BANK,C42154,MEDIUM,ACTIVE,2026-03-14 23:46:58
CP000034,BANK,C34636,MEDIUM,ACTIVE,2021-11-08 10:49:10
CP000035,CORP,C37600,MEDIUM,ACTIVE,2024-08-01 18:11:46
CP000036,FUND,C13613,MEDIUM,ACTIVE,2021-08-22 03:50:18
CP000037,BANK,C14779,LOW,ACTIVE,2020-09-05 06:22:28
CP000038,BANK,C20988,HIGH,ACTIVE,2021-03-08 16:13:34
CP000039,CORP,C01205,LOW,ACTIVE,2020-07-21 20:28:04
CP000040,CORP,C24456,MEDIUM,ACTIVE,2025-03-09 09:50:34
CP000041,CORP,C20145,HIGH,ACTIVE,2026-02-27 00:47:06
CP000042,CORP,C08046,LOW,ACTIVE,2024-12-16 18:54:31
CP000043,CORP,C28284,LOW,ACTIVE,2020-03-11 05:24:01
CP000044,FUND,C48737,HIGH,ACTIVE,2021-12-11 19:57:44
CP000045,BANK,C42145,LOW,ACTIVE,2024-03-21 05:25:13
CP000046,FUND,C12724,LOW,ACTIVE,2022-11-20 16:25:38
CP000047,CORP,C35776,LOW,ACTIVE,2022-07-18 11:17:39
CP000048,BANK,C27172,MEDIUM,ACTIVE,2021-07-28 13:59:48
CP000049,FUND,C07656,MEDIUM,ACTIVE,2025-06-04 19:41:55
CP000050,CORP,C27414,MEDIUM,ACTIVE,2021-11-14 07:24:39
CP000051,FUND,C21649,MEDIUM,ACTIVE,2021-04-27 10:23:01
CP000052,FUND,C12171,MEDIUM,ACTIVE,2025-05-23 06:48:34
CP000053,CORP,C12909,LOW,ACTIVE,2022-02-11 22:36:23
CP000054,BANK,C23172,LOW,ACTIVE,2021-12-11 14:53:06
CP000055,CORP,C04883,LOW,ACTIVE,2026-03-08 12:12:22
CP000056,CORP,C17089,MEDIUM,ACTIVE,2024-01-07 15:14:36
CP000057,FUND,C04551,HIGH,ACTIVE,2020-03-31 21:45:02
CP000058,BANK,C07013,HIGH,ACTIVE,2022-04-07 18:39:43
CP000059,CORP,C30406,LOW,ACTIVE,2020-06-14 08:58:42
CP000060,BANK,C01063,MEDIUM,ACTIVE,2021-01-17 22:15:41
CP000061,FUND,C32747,MEDIUM,ACTIVE,2022-03-11 16:09:12
CP000062,CORP,C20022,MEDIUM,ACTIVE,2020-07-17 13:25:20
CP000063,BANK,C08041,MEDIUM,ACTIVE,2026-03-08 10:57:11
CP000064,BANK,C40377,MEDIUM,ACTIVE,2021-12-07 10:27:56
CP000065,FUND,C31912,HIGH,ACTIVE,2023-12-23 15:32:53
CP000066,BANK,C02826,HIGH,ACTIVE,2020-01-26 06:14:25
CP000067,BANK,C02503,HIGH,ACTIVE,2020-03-15 23:58:21
CP000068,BANK,C07880,HIGH,ACTIVE,2023-12-22 18:21:33
CP000069,CORP,C42726,LOW,ACTIVE,2022-10-02 03:20:25
CP000070,CORP,C34344,LOW,ACTIVE,2022-04-17 04:19:02
CP000071,FUND,C11164,MEDIUM,ACTIVE,2023-09-16 11:04:01
CP000072,FUND,C09229,HIGH,ACTIVE,2024-08-06 17:35:12
CP000073,CORP,C22247,MEDIUM,ACTIVE,2020-11-25 23:15:15
CP000074,BANK,C20046,LOW,ACTIVE,2025-06-11 07:43:03
CP000075,CORP,C28591,MEDIUM,ACTIVE,2025-04-06 20:01:30
CP000076,FUND,C12590,MEDIUM,ACTIVE,2025-10-26 08:33:29
CP000077,FUND,C42884,LOW,ACTIVE,2021-02-19 01:41:45
CP000078,CORP,C29002,LOW,ACTIVE,2025-02-02 05:43:11
CP000079,FUND,C09060,LOW,ACTIVE,2023-02-25 11:34:57
CP000080,FUND,C45398,LOW,ACTIVE,2021-02-09 14:05:25
CP000081,FUND,C10864,HIGH,ACTIVE,2025-04-22 20:00:51
CP000082,FUND,C46481,MEDIUM,ACTIVE,2022-09-30 23:59:19
CP000083,FUND,C49225,MEDIUM,ACTIVE,2021-05-23 05:37:48
CP000084,BANK,C29050,MEDIUM,ACTIVE,2023-11-18 16:52:39
CP000085,CORP,C00761,MEDIUM,ACTIVE,2022-10-11 13:23:24
CP000086,FUND,C02094,MEDIUM,ACTIVE,2020-10-11 11:51:13
CP000087,FUND,C29780,LOW,ACTIVE,2020-11-07 16:24:43
CP000088,FUND,C20165,MEDIUM,ACTIVE,2022-11-21 15:21:30
CP000089,CORP,C44540,MEDIUM,ACTIVE,2021-05-14 22:20:02
CP000090,CORP,C44875,HIGH,ACTIVE,2023-06-05 18:25:17
CP000091,CORP,C31115,HIGH,ACTIVE,2020-06-02 13:49:56
CP000092,FUND,C46182,MEDIUM,ACTIVE,2023-07-25 22:08:33
CP000093,FUND,C48858,HIGH,ACTIVE,2020-09-04 02:15:41
CP000094,CORP,C14923,HIGH,ACTIVE,2022-08-22 07:05:39
CP000095,BANK,C45698,HIGH,ACTIVE,2021-04-09 22:59:09
CP000096,BANK,C37016,MEDIUM,ACTIVE,2024-10-19 14:55:12
CP000097,CORP,C47166,HIGH,ACTIVE,2022-11-03 08:47:00
CP000098,FUND,C14496,LOW,ACTIVE,2022-05-24 20:02:12
CP000099,FUND,C15814,LOW,ACTIVE,2025-12-06 22:50:03
CP000100,BANK,C24330,LOW,ACTIVE,2024-01-21 21:09:15
CP000101,FUND,C08197,MEDIUM,ACTIVE,2023-04-23 00:59:53
CP000102,CORP,C10207,HIGH,ACTIVE,2021-11-15 06:23:51
CP000103,FUND,C32088,MEDIUM,ACTIVE,2020-03-12 08:03:24
CP000104,FUND,C07729,HIGH,ACTIVE,2020-11-28 22:20:47
CP000105,CORP,C17604,HIGH,ACTIVE,2022-10-26 21:57:13
CP000106,BANK,C17995,LOW,ACTIVE,2022-01-19 06:05:52
CP000107,CORP,C47217,HIGH,ACTIVE,2024-07-23 16:43:51
CP000108,FUND,C02798,HIGH,ACTIVE,2025-06-04 17:27:17
CP000109,CORP,C10431,MEDIUM,ACTIVE,2025-09-20 19:36:28
CP000110,CORP,C05063,MEDIUM,ACTIVE,2026-03-15 07:19:48
CP000111,BANK,C40253,HIGH,ACTIVE,2020-04-08 14:15:11
CP000112,BANK,C29262,LOW,ACTIVE,2023-11-13 22:47:38
CP000113,FUND,C36536,HIGH,ACTIVE,2020-05-30 05:26:29
CP000114,CORP,C04880,LOW,ACTIVE,2024-01-23 11:38:56
CP000115,FUND,C12101,MEDIUM,ACTIVE,2021-11-12 08:16:13
CP000116,CORP,C41749,MEDIUM,ACTIVE,2024-07-20 02:44:54
CP000117,CORP,C27365,HIGH,ACTIVE,2023-12-11 18:33:31
CP000118,BANK,C12333,LOW,ACTIVE,2024-11-04 23:32:24
CP000119,CORP,C24112,LOW,ACTIVE,2025-05-20 01:24:16
CP000120,BANK,C32965,LOW,ACTIVE,2026-02-01 06:47:50
CP000121,CORP,C05529,HIGH,ACTIVE,2022-05-30 06:12:28
CP000122,FUND,C40559,HIGH,ACTIVE,2022-06-28 12:41:12
CP000123,FUND,C34238,HIGH,ACTIVE,2023-02-10 23:47:35
CP000124,CORP,C20709,LOW,ACTIVE,2024-04-29 15:13:21
CP000125,BANK,C24701,HIGH,ACTIVE,2024-08-13 20:32:20
CP000126,BANK,C24338,MEDIUM,ACTIVE,2021-03-24 14:04:37
CP000127,BANK,C44803,MEDIUM,ACTIVE,2020-05-24 06:41:00
CP000128,CORP,C35911,LOW,ACTIVE,2020-01-20 01:24:12
CP000129,FUND,C33591,HIGH,ACTIVE,2024-08-26 12:21:04
CP000130,BANK,C17115,HIGH,ACTIVE,2020-07-11 20:03:47
CP000131,FUND,C15650,LOW,ACTIVE,2022-08-23 03:10:10
CP000132,BANK,C24411,LOW,ACTIVE,2020-12-12 11:37:13
CP000133,CORP,C35795,MEDIUM,ACTIVE,2023-02-06 00:45:29
CP000134,CORP,C34295,HIGH,ACTIVE,2022-06-19 21:57:14
CP000135,BANK,C49458,MEDIUM,ACTIVE,2024-09-22 11:24:53
CP000136,FUND,C41113,MEDIUM,ACTIVE,2022-12-11 12:29:59
CP000137,BANK,C29042,LOW,ACTIVE,2022-09-14 01:20:31
CP000138,BANK,C29533,MEDIUM,ACTIVE,2025-08-28 14:10:09
CP000139,BANK,C37013,MEDIUM,ACTIVE,2024-05-01 03:36:07
