CUSTOMER_ID,CUSTOMER_NAME,REGION_CODE,STATUS,CREATED_TS
CUST0,Customer_0,R3355,ACTIVE,2021-10-08
CUST1,Customer_1,R8365,INACTIVE,2022-02-06
CUST2,Customer_2,R22946,ACTIVE,2020-02-24
CUST3,Customer_3,R6891,ACTIVE,2021-04-18
CUST4,Customer_4,R21876,INACTIVE,2021-03-19
CUST5,Customer_5,R4073,ACTIVE,2022-10-08
CUST6,Customer_6,R30379,ACTIVE,2024-11-08
CUST7,Customer_7,R24500,ACTIVE,2022-01-25
CUST8,Customer_8,R24950,ACTIVE,2020-11-18
CUST9,Customer_9,R19407,ACTIVE,2023-11-06
CUST10,Customer_10,R1579,ACTIVE,2020-04-26
CUST11,Customer_11,R19652,TEST,2022-03-25
CUST12,Customer_12,R12695,ACTIVE,2025-02-10
CUST13,Customer_13,R8762,ACTIVE,2022-10-08
CUST14,Customer_14,R18839,ACTIVE,2021-05-12
CUST15,Customer_15,R31941,ACTIVE,2021-02-12
CUST16,Customer_16,R31734,ACTIVE,2022-02-23
CUST17,Customer_17,R16824,ACTIVE,2020-07-29
CUST18,Customer_18,R49319,ACTIVE,2023-09-04
CUST19,Customer_19,R13761,ACTIVE,2024-07-31
CUST20,Customer_20,R1302,INACTIVE,2025-12-26
CUST21,Customer_21,R46938,ACTIVE,2025-10-17
CUST22,Customer_22,R19866,ACTIVE,2020-09-17
CUST23,Customer_23,R34206,TEST,2021-10-29
CUST24,Customer_24,R5851,TEST,2024-11-23
CUST25,Customer_25,R33953,ACTIVE,2023-12-10
CUST26,Customer_26,R17248,ACTIVE,2025-09-09
CUST27,Customer_27,R20452,ACTIVE,2021-03-28
CUST28,Customer_28,R4653,ACTIVE,2020-07-28
CUST29,Customer_29,R44311,ACTIVE,2024-06-01
CUST30,Customer_30,R14097,ACTIVE,2022-10-29
CUST31,Customer_31,R47095,ACTIVE,2025-07-07
CUST32,Customer_32,R2294,INACTIVE,2025-07-08
CUST33,Customer_33,R45041,ACTIVE,2020-06-03
CUST34,Customer_34,R9465,INACTIVE,2022-05-04
CUST35,Customer_35,R32208,ACTIVE,2025-01-13
CUST36,Customer_36,R23398,ACTIVE,2024-01-16
CUST37,Customer_37,R6348,ACTIVE,2025-01-06
CUST38,Customer_38,R2571,ACTIVE,2020-09-06
CUST39,Customer_39,R34025,ACTIVE,2020-08-27
CUST40,Customer_40,R343,ACTIVE,2021-12-21
CUST41,Customer_41,R6670,ACTIVE,2022-06-11
CUST42,Customer_42,R5527,ACTIVE,2021-01-20
CUST43,Customer_43,R18022,TEST,2022-06-14
CUST44,Customer_44,R5836,ACTIVE,2024-12-29
CUST45,Customer_45,R18960,INACTIVE,2025-04-20
CUST46,Customer_46,R21367,TEST,2021-12-16
CUST47,Customer_47,R35528,ACTIVE,2025-06-16
CUST48,Customer_48,R19608,ACTIVE,2023-02-13
CUST49,Customer_49,R12588,INACTIVE,2025-04-07
CUST50,Customer_50,R12815,TEST,2023-08-04
CUST51,Customer_51,R1622,ACTIVE,2025-12-24
CUST52,Customer_52,R31831,ACTIVE,2020-04-02
CUST53,Customer_53,R35806,ACTIVE,2021-10-28
CUST54,Customer_54,R45404,ACTIVE,2020-08-05
CUST55,Customer_55,R26166,INACTIVE,2020-08-31
CUST56,Customer_56,R7256,ACTIVE,2022-05-21
CUST57,Customer_57,R6925,INACTIVE,2025-03-17
CUST58,Customer_58,R10500,TEST,2023-06-06
CUST59,Customer_59,R27067,INACTIVE,2020-03-03
CUST60,Customer_60,R41478,INACTIVE,2024-10-05
CUST61,Customer_61,R8956,ACTIVE,2024-11-09
CUST62,Customer_62,R21455,ACTIVE,2021-09-06
CUST63,Customer_63,R46264,INACTIVE,2024-10-15
