PRODUCT_ID,PRODUCT_NAME,CATEGORY,PRICE,CREATED_TS
P0,Product_0,D,714.78,2020-08-03
P1,Product_1,D,365.77,2021-01-19
P2,Product_2,C,166.89,2025-05-19
P3,Product_3,C,899.62,2022-06-03
P4,Product_4,A,704.48,2022-02-02
P5,Product_5,A,803.16,2020-04-17
P6,Product_6,D,164.05,2024-03-09
P7,Product_7,D,541.87,2024-04-23
P8,Product_8,A,227.11,2025-04-09
P9,Product_9,C,197.73,2022-11-07
P10,Product_10,A,376.34,2021-02-23
P11,Product_11,C,916.06,2024-11-27
P12,Product_12,D,21.26,2023-08-09
P13,Product_13,A,332.79,2025-11-10
P14,Product_14,A,77.44,2023-06-22
P15,Product_15,B,126.88,2023-08-15
P16,Product_16,D,555.55,2025-10-16
P17,Product_17,D,714.92,2020-12-19
P18,Product_18,A,415.59,2021-12-14
P19,Product_19,D,519.38,2020-02-13
P20,Product_20,B,175.35,2021-10-31
P21,Product_21,D,239.54,2020-05-23
P22,Product_22,D,778.41,2023-08-13
P23,Product_23,A,421.56,2025-12-31
P24,Product_24,D,505.12,2024-03-22
P25,Product_25,C,943.4,2024-05-11
P26,Product_26,B,903.71,2022-08-03
P27,Product_27,A,976.44,2025-11-14
P28,Product_28,D,959.09,2021-10-12
P29,Product_29,D,500.26,2025-09-21
P30,Product_30,D,299.0,2025-07-27
P31,Product_31,C,228.8,2023-07-19
P32,Product_32,A,971.58,2024-05-29
P33,Product_33,B,69.91,2023-07-01
P34,Product_34,A,765.46,2020-10-25
P35,Product_35,B,708.48,2020-04-06
P36,Product_36,D,553.21,2022-07-19
P37,Product_37,A,437.56,2022-04-11
P38,Product_38,A,872.37,2021-09-20
P39,Product_39,D,456.29,2025-07-30
P40,Product_40,D,43.02,2022-02-11
P41,Product_41,B,704.69,2022-11-11
P42,Product_42,D,338.27,2025-02-21
P43,Product_43,B,898.8,2023-08-26
P44,Product_44,C,990.84,2020-08-14
P45,Product_45,B,239.64,2023-05-20
P46,Product_46,C,869.26,2022-04-28
P47,Product_47,B,922.78,2022-10-27
P48,Product_48,C,85.05,2020-10-01
P49,Product_49,D,193.17,2022-05-13
P50,Product_50,A,883.04,2023-07-20
P51,Product_51,B,689.57,2021-08-19
P52,Product_52,D,157.46,2020-06-27
P53,Product_53,B,870.01,2022-01-16
P54,Product_54,C,398.95,2024-04-24
P55,Product_55,C,455.55,2020-08-07
P56,Product_56,B,592.99,2022-09-29
P57,Product_57,C,351.78,2022-07-18
P58,Product_58,A,774.83,2024-04-15
P59,Product_59,D,49.29,2022-12-03
P60,Product_60,D,374.05,2021-04-01
P61,Product_61,D,431.44,2025-06-26
P62,Product_62,D,654.36,2024-09-24
P63,Product_63,A,612.02,2023-07-12
P64,Product_64,D,833.29,2022-11-30
P65,Product_65,A,520.16,2020-01-31
P66,Product_66,C,946.13,2021-12-02
P67,Product_67,C,128.36,2022-07-06
P68,Product_68,A,169.9,2023-05-28
P69,Product_69,C,766.14,2022-11-11
P70,Product_70,D,953.47,2022-07-26
P71,Product_71,C,428.43,2021-11-06
P72,Product_72,D,205.33,2024-05-07
P73,Product_73,D,824.46,2022-11-30
P74,Product_74,B,314.41,2022-01-14
P75,Product_75,C,155.61,2024-08-13
P76,Product_76,D,930.64,2022-12-13
P77,Product_77,A,216.91,2023-08-13
P78,Product_78,B,162.3,2023-01-31
P79,Product_79,B,16.17,2025-09-04
P80,Product_80,B,201.63,2020-07-19
P81,Product_81,C,884.64,2023-06-18
P82,Product_82,A,33.38,2022-10-10
P83,Product_83,C,936.34,2020-11-20
P84,Product_84,D,909.93,2020-05-18
P85,Product_85,B,362.59,2024-10-20
P86,Product_86,A,495.33,2025-04-18
P87,Product_87,A,169.12,2024-01-18
P88,Product_88,D,920.09,2023-05-09
P89,Product_89,B,76.62,2022-07-25
P90,Product_90,B,784.73,2023-06-06
P91,Product_91,B,281.37,2022-04-27
P92,Product_92,A,652.74,2024-12-16
P93,Product_93,C,194.03,2020-07-25
P94,Product_94,B,414.22,2020-04-11
P95,Product_95,D,280.22,2022-09-10
P96,Product_96,B,459.75,2022-12-20
P97,Product_97,A,701.22,2024-11-21
P98,Product_98,D,29.05,2023-07-09
P99,Product_99,B,343.07,2024-10-04
P100,Product_100,B,918.77,2022-10-07
P101,Product_101,C,719.69,2024-09-10
P102,Product_102,B,119.59,2022-01-09
P103,Product_103,C,192.81,2022-05-02
P104,Product_104,D,543.75,2023-04-03
P105,Product_105,A,337.52,2023-06-22
P106,Product_106,D,697.66,2025-01-13
P107,Product_107,B,551.35,2024-01-26
P108,Product_108,A,422.35,2023-05-11
P109,Product_109,C,781.53,2020-07-12
P110,Product_110,A,408.04,2021-10-24
P111,Product_111,A,480.66,2021-10-06
P112,Product_112,C,844.78,2023-05-10
P113,Product_113,A,295.64,2021-01-30
P114,Product_114,B,757.99,2020-10-26
P115,Product_115,B,426.8,2023-07-11
P116,Product_116,B,671.59,2024-05-02
P117,Product_117,B,167.46,2024-09-07
P118,Product_118,C,951.49,2022-07-18
P119,Product_119,C,309.83,2023-02-06
P120,Product_120,B,213.19,2024-02-28
P121,Product_121,B,48.14,2023-02-01
P122,Product_122,D,287.3,2022-07-24
P123,Product_123,D,665.43,2024-08-05
P124,Product_124,D,947.78,2022-05-21
P125,Product_125,C,166.44,2021-04-28
P126,Product_126,C,478.92,2021-03-09
P127,Product_127,D,666.48,2020-10-03
P128,Product_128,D,735.72,2020-04-18
P129,Product_129,B,925.11,2024-09-11
P130,Product_130,B,109.44,2024-08-14
P131,Product_131,C,604.04,2022-09-16
P132,Product_132,C,179.49,2021-02-08
P133,Product_133,C,984.37,2022-10-01
P134,Product_134,C,64.55,2021-11-13
P135,Product_135,C,193.35,2020-01-17
