COUNTRY_CD,COUNTRY_NAME,REGION,IS_ACTIVE
C00000,Country_C00000,APAC,Y
C00001,Country_C00001,,Y
C00002,Country_C00002,APAC,Y
C00003,Country_C00003,APAC,Y
C00004,Country_C00004,,Y
C00005,Country_C00005,,Y
C00006,Country_C00006,APAC,Y
C00007,Country_C00007,EMEA,Y
C00008,Country_C00008,APAC,Y
C00009,Country_C00009,APAC,Y
C00010,Country_C00010,APAC,Y
C00011,Country_C00011,APAC,Y
C00012,Country_C00012,,Y
C00013,Country_C00013,APAC,Y
C00014,Country_C00014,EMEA,Y
C00015,Country_C00015,,Y
C00016,Country_C00016,EMEA,Y
C00017,Country_C00017,EMEA,Y
C00018,Country_C00018,EMEA,Y
C00019,Country_C00019,EMEA,Y
C00020,Country_C00020,,Y
C00021,Country_C00021,,Y
C00022,Country_C00022,EMEA,Y
C00023,Country_C00023,EMEA,Y
C00024,Country_C00024,,Y
C00025,Country_C00025,,Y
C00026,Country_C00026,,Y
C00027,Country_C00027,APAC,Y
C00028,Country_C00028,APAC,Y
C00029,Country_C00029,APAC,Y
C00030,Country_C00030,EMEA,Y
C00031,Country_C00031,APAC,Y
C00032,Country_C00032,EMEA,Y
C00033,Country_C00033,EMEA,Y
C00034,Country_C00034,APAC,Y
C00035,Country_C00035,EMEA,Y
C00036,Country_C00036,APAC,Y
C00037,Country_C00037,APAC,Y
C00038,Country_C00038,,Y
C00039,Country_C00039,APAC,Y
C00040,Country_C00040,,Y
C00041,Country_C00041,APAC,Y
C00042,Country_C00042,APAC,Y
C00043,Country_C00043,,Y
C00044,Country_C00044,,Y
C00045,Country_C00045,APAC,Y
C00046,Country_C00046,EMEA,Y
C00047,Country_C00047,,Y
C00048,Country_C00048,EMEA,Y
C00049,Country_C00049,EMEA,Y
C00050,Country_C00050,EMEA,Y
C00051,Country_C00051,,Y
C00052,Country_C00052,EMEA,Y
C00053,Country_C00053,,Y
C00054,Country_C00054,EMEA,Y
C00055,Country_C00055,APAC,Y
C00056,Country_C00056,APAC,Y
C00057,Country_C00057,,Y
C00058,Country_C00058,APAC,Y
C00059,Country_C00059,APAC,Y
C00060,Country_C00060,EMEA,Y
C00061,Country_C00061,,Y
C00062,Country_C00062,EMEA,Y
C00063,Country_C00063,EMEA,Y
C00064,Country_C00064,EMEA,Y
C00065,Country_C00065,EMEA,Y
C00066,Country_C00066,EMEA,Y
C00067,Country_C00067,EMEA,Y
C00068,Country_C00068,EMEA,Y
C00069,Country_C00069,,Y
C00070,Country_C00070,APAC,Y
C00071,Country_C00071,EMEA,Y
C00072,Country_C00072,EMEA,Y
C00073,Country_C00073,EMEA,Y
C00074,Country_C00074,EMEA,Y
C00075,Country_C00075,EMEA,Y
C00076,Country_C00076,EMEA,Y
C00077,Country_C00077,APAC,Y
C00078,Country_C00078,APAC,Y
C00079,Country_C00079,EMEA,Y
C00080,Country_C00080,APAC,Y
C00081,Country_C00081,,Y
C00082,Country_C00082,EMEA,Y
C00083,Country_C00083,,Y
C00084,Country_C00084,,Y
C00085,Country_C00085,EMEA,Y
C00086,Country_C00086,APAC,Y
C00087,Country_C00087,,Y
C00088,Country_C00088,EMEA,Y
C00089,Country_C00089,,Y
C00090,Country_C00090,,Y
C00091,Country_C00091,,Y
C00092,Country_C00092,,Y
C00093,Country_C00093,APAC,Y
C00094,Country_C00094,,Y
C00095,Country_C00095,,Y
C00096,Country_C00096,,Y
C00097,Country_C00097,APAC,Y
C00098,Country_C00098,,Y
C00099,Country_C00099,,Y
C00100,Country_C00100,APAC,Y
C00101,Country_C00101,APAC,Y
C00102,Country_C00102,APAC,Y
C00103,Country_C00103,,Y
C00104,Country_C00104,APAC,Y
C00105,Country_C00105,APAC,Y
C00106,Country_C00106,,Y
C00107,Country_C00107,APAC,Y
C00108,Country_C00108,,Y
C00109,Country_C00109,EMEA,Y
C00110,Country_C00110,APAC,Y
C00111,Country_C00111,EMEA,Y
C00112,Country_C00112,,Y
C00113,Country_C00113,APAC,Y
C00114,Country_C00114,,Y
C00115,Country_C00115,EMEA,Y
C00116,Country_C00116,,Y
C00117,Country_C00117,APAC,Y
C00118,Country_C00118,APAC,Y
C00119,Country_C00119,EMEA,Y
C00120,Country_C00120,,Y
C00121,Country_C00121,APAC,Y
C00122,Country_C00122,EMEA,Y
C00123,Country_C00123,APAC,Y
C00124,Country_C00124,APAC,Y
C00125,Country_C00125,,Y
C00126,Country_C00126,APAC,Y
C00127,Country_C00127,,Y
C00128,Country_C00128,APAC,Y
C00129,Country_C00129,EMEA,Y
C00130,Country_C00130,APAC,Y
C00131,Country_C00131,,Y
C00132,Country_C00132,,Y
C00133,Country_C00133,EMEA,Y
C00134,Country_C00134,APAC,Y
C00135,Country_C00135,APAC,Y
C00136,Country_C00136,EMEA,Y
C00137,Country_C00137,APAC,Y
C00138,Country_C00138,APAC,Y
C00139,Country_C00139,,Y
C00140,Country_C00140,APAC,Y
C00141,Country_C00141,APAC,Y
C00142,Country_C00142,EMEA,Y
C00143,Country_C00143,EMEA,Y
C00144,Country_C00144,,Y
C00145,Country_C00145,APAC,Y
C00146,Country_C00146,APAC,Y
C00147,Country_C00147,APAC,Y
C00148,Country_C00148,,Y
C00149,Country_C00149,,Y
C00150,Country_C00150,EMEA,Y
C00151,Country_C00151,,Y
C00152,Country_C00152,APAC,Y
C00153,Country_C00153,APAC,Y
C00154,Country_C00154,,Y
C00155,Country_C00155,APAC,Y
C00156,Country_C00156,APAC,Y
C00157,Country_C00157,,Y
C00158,Country_C00158,,Y
C00159,Country_C00159,APAC,Y
