CURRENCY_CODE,CURRENCY_NAME
C0,Currency_0
C1,Currency_1
C2,Currency_2
C3,Currency_3
C4,Currency_4
C5,Currency_5
C6,Currency_6
C7,Currency_7
C8,Currency_8
C9,Currency_9
C10,Currency_10
C11,Currency_11
C12,Currency_12
C13,Currency_13
C14,Currency_14
C15,Currency_15
C16,Currency_16
C17,Currency_17
C18,Currency_18
C19,Currency_19
C20,Currency_20
C21,Currency_21
C22,Currency_22
C23,Currency_23
C24,Currency_24
C25,Currency_25
C26,Currency_26
C27,Currency_27
C28,Currency_28
C29,Currency_29
C30,Currency_30
C31,Currency_31
C32,Currency_32
C33,Currency_33
C34,Currency_34
C35,Currency_35
C36,Currency_36
C37,Currency_37
C38,Currency_38
C39,Currency_39
C40,Currency_40
C41,Currency_41
C42,Currency_42
C43,Currency_43
C44,Currency_44
C45,Currency_45
C46,Currency_46
C47,Currency_47
C48,Currency_48
C49,Currency_49
C50,Currency_50
C51,Currency_51
C52,Currency_52
C53,Currency_53
C54,Currency_54
C55,Currency_55
C56,Currency_56
C57,Currency_57
C58,Currency_58
C59,Currency_59
C60,Currency_60
C61,Currency_61
C62,Currency_62
C63,Currency_63
C64,Currency_64
C65,Currency_65
C66,Currency_66
C67,Currency_67
C68,Currency_68
C69,Currency_69
C70,Currency_70
C71,Currency_71
C72,Currency_72
C73,Currency_73
C74,Currency_74
C75,Currency_75
C76,Currency_76
C77,Currency_77
C78,Currency_78
C79,Currency_79
C80,Currency_80
C81,Currency_81
C82,Currency_82
C83,Currency_83
C84,Currency_84
C85,Currency_85
C86,Currency_86
C87,Currency_87
C88,Currency_88
C89,Currency_89
C90,Currency_90
C91,Currency_91
C92,Currency_92
C93,Currency_93
C94,Currency_94
C95,Currency_95
C96,Currency_96
C97,Currency_97
C98,Currency_98
C99,Currency_99
C100,Currency_100
C101,Currency_101
C102,Currency_102
C103,Currency_103
C104,Currency_104
C105,Currency_105
C106,Currency_106
C107,Currency_107
C108,Currency_108
C109,Currency_109
C110,Currency_110
C111,Currency_111
C112,Currency_112
C113,Currency_113
C114,Currency_114
C115,Currency_115
C116,Currency_116
C117,Currency_117
C118,Currency_118
C119,Currency_119
C120,Currency_120
C121,Currency_121
C122,Currency_122
C123,Currency_123
C124,Currency_124
C125,Currency_125
C126,Currency_126
C127,Currency_127
C128,Currency_128
C129,Currency_129
C130,Currency_130
C131,Currency_131
C132,Currency_132
C133,Currency_133
C134,Currency_134
C135,Currency_135
C136,Currency_136
C137,Currency_137
C138,Currency_138
C139,Currency_139
C140,Currency_140
C141,Currency_141
C142,Currency_142
C143,Currency_143
C144,Currency_144
C145,Currency_145
C146,Currency_146
C147,Currency_147
C148,Currency_148
C149,Currency_149
C150,Currency_150
C151,Currency_151
C152,Currency_152
C153,Currency_153
C154,Currency_154
C155,Currency_155
C156,Currency_156
C157,Currency_157
C158,Currency_158
C159,Currency_159
C160,Currency_160
C161,Currency_161
C162,Currency_162
C163,Currency_163
C164,Currency_164
C165,Currency_165
C166,Currency_166
C167,Currency_167
C168,Currency_168
C169,Currency_169
C170,Currency_170
C171,Currency_171
C172,Currency_172
C173,Currency_173
C174,Currency_174
C175,Currency_175
C176,Currency_176
C177,Currency_177
C178,Currency_178
C179,Currency_179
C180,Currency_180
C181,Currency_181
C182,Currency_182
C183,Currency_183
C184,Currency_184
C185,Currency_185
C186,Currency_186
C187,Currency_187
C188,Currency_188
C189,Currency_189
C190,Currency_190
C191,Currency_191
C192,Currency_192
C193,Currency_193
C194,Currency_194
C195,Currency_195
C196,Currency_196
C197,Currency_197
C198,Currency_198
C199,Currency_199
C200,Currency_200
C201,Currency_201
C202,Currency_202
C203,Currency_203
C204,Currency_204
C205,Currency_205
C206,Currency_206
C207,Currency_207
C208,Currency_208
C209,Currency_209
C210,Currency_210
C211,Currency_211
C212,Currency_212
C213,Currency_213
C214,Currency_214
C215,Currency_215
C216,Currency_216
C217,Currency_217
C218,Currency_218
C219,Currency_219
C220,Currency_220
C221,Currency_221
C222,Currency_222
C223,Currency_223
C224,Currency_224
C225,Currency_225
C226,Currency_226
C227,Currency_227
C228,Currency_228
C229,Currency_229
C230,Currency_230
C231,Currency_231
C232,Currency_232
C233,Currency_233
C234,Currency_234
C235,Currency_235
C236,Currency_236
C237,Currency_237
C238,Currency_238
C239,Currency_239
C240,Currency_240
C241,Currency_241
C242,Currency_242
C243,Currency_243
C244,Currency_244
C245,Currency_245
C246,Currency_246
C247,Currency_247
C248,Currency_248
C249,Currency_249
C250,Currency_250
C251,Currency_251
C252,Currency_252
C253,Currency_253
C254,Currency_254
C255,Currency_255
C256,Currency_256
C257,Currency_257
C258,Currency_258
C259,Currency_259
C260,Currency_260
C261,Currency_261
C262,Currency_262
C263,Currency_263
C264,Currency_264
C265,Currency_265
C266,Currency_266
C267,Currency_267
C268,Currency_268
C269,Currency_269
C270,Currency_270
C271,Currency_271
C272,Currency_272
C273,Currency_273
C274,Currency_274
C275,Currency_275
C276,Currency_276
C277,Currency_277
C278,Currency_278
C279,Currency_279
C280,Currency_280
C281,Currency_281
C282,Currency_282
C283,Currency_283
C284,Currency_284
C285,Currency_285
C286,Currency_286
C287,Currency_287
C288,Currency_288
C289,Currency_289
C290,Currency_290
C291,Currency_291
C292,Currency_292
C293,Currency_293
C294,Currency_294
C295,Currency_295
C296,Currency_296
C297,Currency_297
C298,Currency_298
C299,Currency_299
C300,Currency_300
C301,Currency_301
C302,Currency_302
C303,Currency_303
C304,Currency_304
C305,Currency_305
C306,Currency_306
C307,Currency_307
C308,Currency_308
C309,Currency_309
C310,Currency_310
C311,Currency_311
C312,Currency_312
C313,Currency_313
C314,Currency_314
C315,Currency_315
C316,Currency_316
C317,Currency_317
C318,Currency_318
C319,Currency_319
C320,Currency_320
C321,Currency_321
C322,Currency_322
C323,Currency_323
C324,Currency_324
C325,Currency_325
C326,Currency_326
C327,Currency_327
C328,Currency_328
C329,Currency_329
C330,Currency_330
C331,Currency_331
C332,Currency_332
C333,Currency_333
C334,Currency_334
C335,Currency_335
C336,Currency_336
C337,Currency_337
C338,Currency_338
C339,Currency_339
C340,Currency_340
C341,Currency_341
C342,Currency_342
C343,Currency_343
C344,Currency_344
C345,Currency_345
C346,Currency_346
C347,Currency_347
C348,Currency_348
C349,Currency_349
C350,Currency_350
C351,Currency_351
C352,Currency_352
C353,Currency_353
C354,Currency_354
C355,Currency_355
C356,Currency_356
C357,Currency_357
C358,Currency_358
C359,Currency_359
C360,Currency_360
C361,Currency_361
C362,Currency_362
C363,Currency_363
C364,Currency_364
C365,Currency_365
C366,Currency_366
C367,Currency_367
C368,Currency_368
C369,Currency_369
C370,Currency_370
C371,Currency_371
C372,Currency_372
C373,Currency_373
C374,Currency_374
C375,Currency_375
C376,Currency_376
C377,Currency_377
C378,Currency_378
C379,Currency_379
C380,Currency_380
C381,Currency_381
C382,Currency_382
C383,Currency_383
C384,Currency_384
C385,Currency_385
C386,Currency_386
C387,Currency_387
C388,Currency_388
C389,Currency_389
C390,Currency_390
C391,Currency_391
C392,Currency_392
C393,Currency_393
C394,Currency_394
C395,Currency_395
C396,Currency_396
C397,Currency_397
C398,Currency_398
C399,Currency_399
C400,Currency_400
C401,Currency_401
C402,Currency_402
C403,Currency_403
C404,Currency_404
C405,Currency_405
C406,Currency_406
C407,Currency_407
C408,Currency_408
C409,Currency_409
C410,Currency_410
C411,Currency_411
C412,Currency_412
C413,Currency_413
C414,Currency_414
C415,Currency_415
C416,Currency_416
C417,Currency_417
C418,Currency_418
C419,Currency_419
C420,Currency_420
C421,Currency_421
C422,Currency_422
C423,Currency_423
C424,Currency_424
C425,Currency_425
C426,Currency_426
C427,Currency_427
C428,Currency_428
C429,Currency_429
C430,Currency_430
C431,Currency_431
C432,Currency_432
C433,Currency_433
C434,Currency_434
C435,Currency_435
C436,Currency_436
C437,Currency_437
C438,Currency_438
C439,Currency_439
C440,Currency_440
C441,Currency_441
C442,Currency_442
C443,Currency_443
C444,Currency_444
C445,Currency_445
C446,Currency_446
C447,Currency_447
C448,Currency_448
C449,Currency_449
C450,Currency_450
C451,Currency_451
C452,Currency_452
C453,Currency_453
C454,Currency_454
C455,Currency_455
C456,Currency_456
C457,Currency_457
C458,Currency_458
C459,Currency_459
C460,Currency_460
C461,Currency_461
C462,Currency_462
C463,Currency_463
C464,Currency_464
C465,Currency_465
C466,Currency_466
C467,Currency_467
C468,Currency_468
C469,Currency_469
C470,Currency_470
C471,Currency_471
C472,Currency_472
C473,Currency_473
C474,Currency_474
C475,Currency_475
C476,Currency_476
C477,Currency_477
C478,Currency_478
C479,Currency_479
C480,Currency_480
C481,Currency_481
C482,Currency_482
C483,Currency_483
C484,Currency_484
C485,Currency_485
C486,Currency_486
C487,Currency_487
C488,Currency_488
C489,Currency_489
C490,Currency_490
C491,Currency_491
C492,Currency_492
C493,Currency_493
C494,Currency_494
C495,Currency_495
C496,Currency_496
C497,Currency_497
C498,Currency_498
C499,Currency_499
C500,Currency_500
C501,Currency_501
C502,Currency_502
C503,Currency_503
C504,Currency_504
C505,Currency_505
C506,Currency_506
C507,Currency_507
C508,Currency_508
C509,Currency_509
C510,Currency_510
C511,Currency_511
C512,Currency_512
C513,Currency_513
C514,Currency_514
C515,Currency_515
C516,Currency_516
