INSTRUMENT_CD,INSTRUMENT_DESC,INSTRUMENT_TYPE,IS_ACTIVE
INS000000,Instrument INS000000,EQUITY,Y
INS000001,Instrument INS000001,FX,Y
INS000002,Instrument INS000002,BOND,Y
INS000003,Instrument INS000003,FX,Y
INS000004,Instrument INS000004,EQUITY,Y
INS000005,Instrument INS000005,BOND,Y
INS000006,Instrument INS000006,FX,Y
INS000007,Instrument INS000007,EQUITY,Y
INS000008,Instrument INS000008,EQUITY,Y
INS000009,Instrument INS000009,FX,Y
INS000010,Instrument INS000010,BOND,Y
INS000011,Instrument INS000011,FX,Y
INS000012,Instrument INS000012,BOND,Y
INS000013,Instrument INS000013,EQUITY,Y
INS000014,Instrument INS000014,EQUITY,Y
INS000015,Instrument INS000015,EQUITY,Y
INS000016,Instrument INS000016,FX,Y
INS000017,Instrument INS000017,FX,Y
INS000018,Instrument INS000018,FX,Y
INS000019,Instrument INS000019,EQUITY,Y
INS000020,Instrument INS000020,BOND,Y
INS000021,Instrument INS000021,FX,Y
INS000022,Instrument INS000022,FX,Y
INS000023,Instrument INS000023,FX,Y
INS000024,Instrument INS000024,EQUITY,Y
INS000025,Instrument INS000025,BOND,Y
INS000026,Instrument INS000026,BOND,Y
INS000027,Instrument INS000027,BOND,Y
INS000028,Instrument INS000028,FX,Y
INS000029,Instrument INS000029,FX,Y
INS000030,Instrument INS000030,BOND,Y
INS000031,Instrument INS000031,EQUITY,Y
INS000032,Instrument INS000032,BOND,Y
INS000033,Instrument INS000033,FX,Y
INS000034,Instrument INS000034,BOND,Y
INS000035,Instrument INS000035,BOND,Y
INS000036,Instrument INS000036,BOND,Y
INS000037,Instrument INS000037,EQUITY,Y
INS000038,Instrument INS000038,FX,Y
INS000039,Instrument INS000039,FX,Y
INS000040,Instrument INS000040,BOND,Y
INS000041,Instrument INS000041,FX,Y
INS000042,Instrument INS000042,EQUITY,Y
INS000043,Instrument INS000043,BOND,Y
INS000044,Instrument INS000044,EQUITY,Y
INS000045,Instrument INS000045,BOND,Y
INS000046,Instrument INS000046,BOND,Y
INS000047,Instrument INS000047,BOND,Y
INS000048,Instrument INS000048,EQUITY,Y
INS000049,Instrument INS000049,FX,Y
INS000050,Instrument INS000050,FX,Y
INS000051,Instrument INS000051,FX,Y
INS000052,Instrument INS000052,FX,Y
INS000053,Instrument INS000053,EQUITY,Y
INS000054,Instrument INS000054,FX,Y
INS000055,Instrument INS000055,FX,Y
INS000056,Instrument INS000056,BOND,Y
INS000057,Instrument INS000057,EQUITY,Y
INS000058,Instrument INS000058,BOND,Y
INS000059,Instrument INS000059,FX,Y
INS000060,Instrument INS000060,BOND,Y
INS000061,Instrument INS000061,FX,Y
INS000062,Instrument INS000062,BOND,Y
