PROMO_CODE,DISCOUNT_PCT
P000,33
P001,19
P002,12
P003,25
P004,23
P005,27
P006,15
P007,15
P008,28
P009,28
P010,7
P011,26
P012,6
P013,28
P014,34
P015,6
P016,25
P017,37
P018,16
P019,26
P020,29
P021,31
P022,32
P023,20
P024,19
P025,7
P026,11
P027,25
P028,13
P029,22
P030,8
P031,29
P032,18
P033,13
P034,30
P035,6
P036,24
P037,32
P038,11
P039,12
P040,39
P041,18
P042,21
P043,8
P044,6
P045,10
P046,8
P047,33
P048,22
P049,30
P050,38
P051,14
P052,18
P053,35
P054,19
P055,12
P056,18
P057,27
P058,25
P059,20
P060,22
P061,28
P062,30
P063,29
P064,33
P065,19
P066,5
P067,29
P068,11
P069,13
P070,28
P071,5
P072,12
P073,28
P074,15
P075,21
P076,12
P077,39
P078,39
P079,37
P080,9
P081,32
P082,11
P083,13
P084,12
P085,16
P086,38
P087,37
P088,27
P089,28
P090,39
P091,26
P092,31
P093,39
P094,5
P095,39
P096,18
P097,7
P098,5
P099,9
