REGION_CODE,REGION_NAME
R0,Region_0
R1,Region_1
R2,Region_2
R3,Region_3
R4,Region_4
R5,Region_5
R6,Region_6
R7,Region_7
R8,Region_8
R9,Region_9
R10,Region_10
R11,Region_11
R12,Region_12
R13,Region_13
R14,Region_14
R15,Region_15
R16,Region_16
R17,Region_17
R18,Region_18
R19,Region_19
R20,Region_20
R21,Region_21
R22,Region_22
R23,Region_23
R24,Region_24
R25,Region_25
R26,Region_26
R27,Region_27
R28,Region_28
R29,Region_29
R30,Region_30
R31,Region_31
R32,Region_32
R33,Region_33
R34,Region_34
R35,Region_35
R36,Region_36
R37,Region_37
R38,Region_38
R39,Region_39
R40,Region_40
R41,Region_41
R42,Region_42
R43,Region_43
R44,Region_44
R45,Region_45
R46,Region_46
R47,Region_47
R48,Region_48
R49,Region_49
R50,Region_50
R51,Region_51
R52,Region_52
R53,Region_53
R54,Region_54
R55,Region_55
R56,Region_56
R57,Region_57
R58,Region_58
R59,Region_59
R60,Region_60
R61,Region_61
R62,Region_62
R63,Region_63
R64,Region_64
R65,Region_65
R66,Region_66
R67,Region_67
R68,Region_68
R69,Region_69
R70,Region_70
R71,Region_71
R72,Region_72
R73,Region_73
R74,Region_74
R75,Region_75
R76,Region_76
R77,Region_77
R78,Region_78
R79,Region_79
R80,Region_80
R81,Region_81
R82,Region_82
R83,Region_83
R84,Region_84
R85,Region_85
R86,Region_86
R87,Region_87
R88,Region_88
R89,Region_89
R90,Region_90
R91,Region_91
R92,Region_92
R93,Region_93
R94,Region_94
R95,Region_95
R96,Region_96
R97,Region_97
R98,Region_98
R99,Region_99
R100,Region_100
R101,Region_101
R102,Region_102
R103,Region_103
R104,Region_104
R105,Region_105
R106,Region_106
R107,Region_107
R108,Region_108
R109,Region_109
R110,Region_110
R111,Region_111
R112,Region_112
R113,Region_113
R114,Region_114
R115,Region_115
R116,Region_116
R117,Region_117
R118,Region_118
R119,Region_119
R120,Region_120
R121,Region_121
R122,Region_122
R123,Region_123
R124,Region_124
R125,Region_125
R126,Region_126
R127,Region_127
R128,Region_128
R129,Region_129
R130,Region_130
R131,Region_131
R132,Region_132
R133,Region_133
R134,Region_134
R135,Region_135
R136,Region_136
R137,Region_137
R138,Region_138
R139,Region_139
R140,Region_140
R141,Region_141
R142,Region_142
R143,Region_143
R144,Region_144
R145,Region_145
R146,Region_146
R147,Region_147
R148,Region_148
R149,Region_149
R150,Region_150
R151,Region_151
R152,Region_152
R153,Region_153
R154,Region_154
R155,Region_155
R156,Region_156
R157,Region_157
R158,Region_158
R159,Region_159
R160,Region_160
R161,Region_161
R162,Region_162
R163,Region_163
R164,Region_164
R165,Region_165
R166,Region_166
R167,Region_167
R168,Region_168
R169,Region_169
R170,Region_170
R171,Region_171
R172,Region_172
R173,Region_173
R174,Region_174
R175,Region_175
R176,Region_176
R177,Region_177
R178,Region_178
R179,Region_179
R180,Region_180
R181,Region_181
R182,Region_182
R183,Region_183
R184,Region_184
R185,Region_185
R186,Region_186
R187,Region_187
R188,Region_188
R189,Region_189
R190,Region_190
R191,Region_191
R192,Region_192
R193,Region_193
R194,Region_194
R195,Region_195
R196,Region_196
R197,Region_197
R198,Region_198
R199,Region_199
R200,Region_200
R201,Region_201
R202,Region_202
R203,Region_203
R204,Region_204
R205,Region_205
R206,Region_206
R207,Region_207
R208,Region_208
R209,Region_209
R210,Region_210
R211,Region_211
R212,Region_212
R213,Region_213
R214,Region_214
R215,Region_215
R216,Region_216
R217,Region_217
R218,Region_218
R219,Region_219
R220,Region_220
R221,Region_221
R222,Region_222
R223,Region_223
R224,Region_224
R225,Region_225
R226,Region_226
R227,Region_227
R228,Region_228
R229,Region_229
R230,Region_230
R231,Region_231
R232,Region_232
R233,Region_233
R234,Region_234
R235,Region_235
R236,Region_236
R237,Region_237
R238,Region_238
R239,Region_239
R240,Region_240
R241,Region_241
R242,Region_242
R243,Region_243
R244,Region_244
R245,Region_245
R246,Region_246
R247,Region_247
R248,Region_248
R249,Region_249
R250,Region_250
R251,Region_251
R252,Region_252
R253,Region_253
R254,Region_254
R255,Region_255
R256,Region_256
R257,Region_257
R258,Region_258
R259,Region_259
R260,Region_260
R261,Region_261
R262,Region_262
R263,Region_263
R264,Region_264
R265,Region_265
R266,Region_266
R267,Region_267
R268,Region_268
R269,Region_269
R270,Region_270
R271,Region_271
R272,Region_272
R273,Region_273
R274,Region_274
R275,Region_275
R276,Region_276
R277,Region_277
R278,Region_278
R279,Region_279
R280,Region_280
R281,Region_281
R282,Region_282
R283,Region_283
R284,Region_284
R285,Region_285
R286,Region_286
R287,Region_287
R288,Region_288
R289,Region_289
R290,Region_290
R291,Region_291
R292,Region_292
R293,Region_293
R294,Region_294
R295,Region_295
R296,Region_296
R297,Region_297
R298,Region_298
R299,Region_299
R300,Region_300
R301,Region_301
R302,Region_302
R303,Region_303
R304,Region_304
R305,Region_305
R306,Region_306
R307,Region_307
R308,Region_308
R309,Region_309
R310,Region_310
R311,Region_311
R312,Region_312
R313,Region_313
R314,Region_314
R315,Region_315
R316,Region_316
R317,Region_317
R318,Region_318
R319,Region_319
R320,Region_320
R321,Region_321
R322,Region_322
R323,Region_323
R324,Region_324
R325,Region_325
R326,Region_326
R327,Region_327
R328,Region_328
R329,Region_329
R330,Region_330
R331,Region_331
R332,Region_332
R333,Region_333
R334,Region_334
R335,Region_335
R336,Region_336
R337,Region_337
R338,Region_338
R339,Region_339
R340,Region_340
R341,Region_341
R342,Region_342
R343,Region_343
R344,Region_344
R345,Region_345
R346,Region_346
R347,Region_347
R348,Region_348
R349,Region_349
R350,Region_350
R351,Region_351
R352,Region_352
R353,Region_353
R354,Region_354
R355,Region_355
R356,Region_356
R357,Region_357
R358,Region_358
R359,Region_359
R360,Region_360
R361,Region_361
R362,Region_362
R363,Region_363
R364,Region_364
R365,Region_365
R366,Region_366
R367,Region_367
R368,Region_368
R369,Region_369
R370,Region_370
R371,Region_371
R372,Region_372
R373,Region_373
R374,Region_374
R375,Region_375
R376,Region_376
R377,Region_377
R378,Region_378
R379,Region_379
R380,Region_380
R381,Region_381
R382,Region_382
R383,Region_383
R384,Region_384
R385,Region_385
R386,Region_386
R387,Region_387
R388,Region_388
R389,Region_389
R390,Region_390
R391,Region_391
R392,Region_392
R393,Region_393
R394,Region_394
R395,Region_395
R396,Region_396
R397,Region_397
R398,Region_398
R399,Region_399
R400,Region_400
R401,Region_401
R402,Region_402
R403,Region_403
R404,Region_404
R405,Region_405
R406,Region_406
R407,Region_407
R408,Region_408
R409,Region_409
R410,Region_410
R411,Region_411
R412,Region_412
R413,Region_413
R414,Region_414
R415,Region_415
R416,Region_416
R417,Region_417
R418,Region_418
R419,Region_419
R420,Region_420
R421,Region_421
R422,Region_422
R423,Region_423
R424,Region_424
R425,Region_425
R426,Region_426
R427,Region_427
R428,Region_428
R429,Region_429
R430,Region_430
R431,Region_431
R432,Region_432
R433,Region_433
R434,Region_434
R435,Region_435
R436,Region_436
R437,Region_437
R438,Region_438
R439,Region_439
R440,Region_440
R441,Region_441
R442,Region_442
R443,Region_443
R444,Region_444
R445,Region_445
R446,Region_446
R447,Region_447
R448,Region_448
R449,Region_449
R450,Region_450
R451,Region_451
R452,Region_452
R453,Region_453
R454,Region_454
R455,Region_455
R456,Region_456
R457,Region_457
R458,Region_458
R459,Region_459
R460,Region_460
R461,Region_461
R462,Region_462
R463,Region_463
R464,Region_464
R465,Region_465
R466,Region_466
R467,Region_467
R468,Region_468
R469,Region_469
R470,Region_470
R471,Region_471
R472,Region_472
R473,Region_473
R474,Region_474
R475,Region_475
R476,Region_476
R477,Region_477
R478,Region_478
R479,Region_479
R480,Region_480
R481,Region_481
R482,Region_482
R483,Region_483
R484,Region_484
R485,Region_485
R486,Region_486
R487,Region_487
R488,Region_488
R489,Region_489
R490,Region_490
R491,Region_491
R492,Region_492
R493,Region_493
R494,Region_494
R495,Region_495
R496,Region_496
R497,Region_497
R498,Region_498
R499,Region_499
R500,Region_500
R501,Region_501
R502,Region_502
R503,Region_503
R504,Region_504
R505,Region_505
R506,Region_506
R507,Region_507
R508,Region_508
R509,Region_509
R510,Region_510
R511,Region_511
R512,Region_512
R513,Region_513
R514,Region_514
R515,Region_515
R516,Region_516
R517,Region_517
R518,Region_518
R519,Region_519
R520,Region_520
R521,Region_521
R522,Region_522
R523,Region_523
R524,Region_524
R525,Region_525
R526,Region_526
R527,Region_527
R528,Region_528
R529,Region_529
